request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2954671.64,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,11475.56,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request. Although ZAR 11,475.56 is available today, the full amount cannot be completed safely within 90 days."
request_33,32241.51,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000 request. Although INR 32,241.51 is available today, the full amount cannot be completed safely within 90 days."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,30523.79,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,364.39,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,193.29,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,118257.93,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,284.57,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. Although EUR 284.57 is available today, the full amount cannot be completed safely within 90 days."
request_41,8526444.79,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8066547.93,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,21082.32,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,800 request. Although INR 21,082.32 is available today, the full amount cannot be completed safely within 90 days."
request_45,4041545.83,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 3 December 2024. This leaves at least INR 84,000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,43098.55,affordable_with_plan,full_payment,2026-07-25:45700,2026-10-15,reduce_to:event_4452:925|stop:event_4451,"Reduce the streaming subscription to INR 925 and stop the shared storage plan, then pay INR 45,700 today. This leaves at least INR 71,300 available."
request_49,11974188.05,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,23286.91,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,462.2,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"Reduce the bakery and snacks to USD 44.50, then use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,5407.74,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 5,407.74 is available today, the full amount cannot be completed safely within 90 days."
request_55,125447.61,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5167:2750,"Stop the family streaming plan and reduce the family dinner to INR 2,750, then use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
